"Metric name","Metric description","GeForce RTX 3090(0)","GeForce RTX 3090(1)"
"smsp__sass_average_data_bytes_per_wavefront_mem_shared_op_ld","average # of bytes per wavefront by shared loads","1","1"
"smsp__sass_average_data_bytes_per_wavefront_mem_shared_op_ldgsts","average # of bytes per wavefront by LDGSTS shared stores","1","1"
"smsp__sass_average_data_bytes_per_wavefront_mem_shared_op_ldgsts_cache_access","average # of bytes per wavefront by LDGSTS.ACCESS shared stores","1","1"
"smsp__sass_average_data_bytes_per_wavefront_mem_shared_op_ldgsts_cache_bypass","average # of bytes per wavefront by LDGSTS.BYPASS shared stores","1","1"
"smsp__sass_average_data_bytes_per_wavefront_mem_shared_op_st","average # of bytes per wavefront by shared stores","1","1"
"smsp__sass_data_bytes_mem_global","# of bytes required for global operations","1","1"
"smsp__sass_data_bytes_mem_global_op_atom","# of bytes required for global atom","1","1"
"smsp__sass_data_bytes_mem_global_op_ld","# of bytes required for global loads","1","1"
"smsp__sass_data_bytes_mem_global_op_ldgsts","# of bytes required for LDGSTS global loads","1","1"
"smsp__sass_data_bytes_mem_global_op_ldgsts_cache_access","# of bytes required for LDGSTS.ACCESS global loads","1","1"
"smsp__sass_data_bytes_mem_global_op_ldgsts_cache_bypass","# of bytes required for LDGSTS.BYPASS global loads","1","1"
"smsp__sass_data_bytes_mem_global_op_red","# of bytes required for global reductions","1","1"
"smsp__sass_data_bytes_mem_global_op_st","# of bytes required for global stores","1","1"
"smsp__sass_data_bytes_mem_local","# of bytes required for local operations","1","1"
"smsp__sass_data_bytes_mem_local_op_ld","# of bytes required for local loads","1","1"
"smsp__sass_data_bytes_mem_local_op_st","# of bytes required for local stores","1","1"
"smsp__sass_data_bytes_mem_shared","# of bytes required for shared operations","1","1"
"smsp__sass_data_bytes_mem_shared_op_atom","# of bytes required for shared atom","1","1"
"smsp__sass_data_bytes_mem_shared_op_ld","# of bytes required for shared loads","1","1"
"smsp__sass_data_bytes_mem_shared_op_ldgsts","# of bytes required for LDGSTS shared stores","1","1"
"smsp__sass_data_bytes_mem_shared_op_ldgsts_cache_access","# of bytes required for LDGSTS.ACCESS shared stores","1","1"
"smsp__sass_data_bytes_mem_shared_op_ldgsts_cache_bypass","# of bytes required for LDGSTS.BYPASS shared stores","1","1"
"smsp__sass_data_bytes_mem_shared_op_st","# of bytes required for shared stores","1","1"
"smsp__sass_inst_executed","# of warp instructions executed","1","1"
"smsp__sass_inst_executed_op_atom","# of warp instructions executed: ATOM, ATOMG, ATOMS, ATOM","1","1"
"smsp__sass_inst_executed_op_global","# of warp instructions executed: LDG, STG, LD, ST, ATOM, ATOMG, RED","1","1"
"smsp__sass_inst_executed_op_global_atom","# of warp instructions executed: ATOM, ATOMG","1","1"
"smsp__sass_inst_executed_op_global_ld","# of warp instructions executed: LDG, LD","1","1"
"smsp__sass_inst_executed_op_global_red","# of warp instructions executed: RED","1","1"
"smsp__sass_inst_executed_op_global_st","# of warp instructions executed: STG, ST","1","1"
"smsp__sass_inst_executed_op_ld","# of warp instructions executed: LDG, LD, LDS","1","1"
"smsp__sass_inst_executed_op_ldgsts","# of warp instructions executed: LDGSTS","1","1"
"smsp__sass_inst_executed_op_ldgsts_cache_access","# of warp instructions executed: LDGSTS.ACCESS","1","1"
"smsp__sass_inst_executed_op_ldgsts_cache_bypass","# of warp instructions executed: LDGSTS.BYPASS","1","1"
"smsp__sass_inst_executed_op_local","# of warp instructions executed: LDL, LD, STL, ST","1","1"
"smsp__sass_inst_executed_op_local_ld","# of warp instructions executed: LDL, LD","1","1"
"smsp__sass_inst_executed_op_local_st","# of warp instructions executed: STL, ST","1","1"
"smsp__sass_inst_executed_op_memory_128b","# of warp instructions executed by memory instructions with width 128 bit","1","1"
"smsp__sass_inst_executed_op_memory_16b","# of warp instructions executed by memory instructions with width 16 bit","1","1"
"smsp__sass_inst_executed_op_memory_32b","# of warp instructions executed by memory instructions with width 32 bit","1","1"
"smsp__sass_inst_executed_op_memory_64b","# of warp instructions executed by memory instructions with width 64 bit","1","1"
"smsp__sass_inst_executed_op_memory_8b","# of warp instructions executed by memory instructions with width 8 bit","1","1"
"smsp__sass_inst_executed_op_shared","# of warp instructions executed: LDS, LD, STS, ST, ATOMS, ATOM","1","1"
"smsp__sass_inst_executed_op_shared_atom","# of warp instructions executed: ATOMS ATOM","1","1"
"smsp__sass_inst_executed_op_shared_ld","# of warp instructions executed: LDS, LD","1","1"
"smsp__sass_inst_executed_op_shared_st","# of warp instructions executed: STS, ST","1","1"
"smsp__sass_inst_executed_op_st","# of warp instructions executed: STG, ST, STL","1","1"
"smsp__sass_inst_executed_op_texture","# of warp instructions executed: texture","1","1"
"smsp__sass_l1tex_average_t_sectors_per_request_pipe_lsu_mem_global_op_ldgsts","average # of sectors requested per request sent to T stage by LDGSTS","1","1"
"smsp__sass_l1tex_average_t_sectors_per_request_pipe_lsu_mem_global_op_ldgsts_cache_access","average # of sectors requested per request sent to T stage by LDGSTS.ACCESS","1","1"
"smsp__sass_l1tex_average_t_sectors_per_request_pipe_lsu_mem_global_op_ldgsts_cache_bypass","average # of sectors requested per request sent to T stage by LDGSTS.BYPASS","1","1"
"smsp__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts","# of data bank conflicts generated by LDGSTS","1","1"
"smsp__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts_cache_access","# of data bank conflicts generated by LDGSTS.ACCESS","1","1"
"smsp__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_ldgsts_cache_bypass","# of data bank conflicts generated by LDGSTS.BYPASS","1","1"
"smsp__sass_l1tex_data_bank_conflicts_pipe_lsu_mem_shared_op_st","# of data bank conflicts generated by Shared Stores","1","1"
"smsp__sass_l1tex_data_bank_writes_pipe_lsu_mem_shared_op_ldgsts_cache_access","# of LDGSTS.ACCESS shared data bank writes","1","1"
"smsp__sass_l1tex_data_bytes_write_pipe_lsu_mem_shared_op_ldgsts_cache_access","# of LDGSTS.ACCESS shared data bytes write","1","1"
"smsp__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_atom","# of shared atom wavefronts processed by Data-Stage","1","1"
"smsp__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ld","# of shared load wavefronts processed by Data-Stage","1","1"
"smsp__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts","# of LDGSTS shared store wavefronts processed by Data-Stage","1","1"
"smsp__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts_cache_access","# of LDGSTS.ACCESS shared store wavefronts processed by Data-Stage","1","1"
"smsp__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_ldgsts_cache_bypass","# of LDGSTS.BYPASS shared store wavefronts processed by Data-Stage","1","1"
"smsp__sass_l1tex_data_pipe_lsu_wavefronts_mem_shared_op_st","# of shared store wavefronts processed by Data-Stage","1","1"
"smsp__sass_l1tex_m_xbar2l1tex_read_bytes_mem_global_op_ldgsts_cache_bypass","# of bytes read from L2 into L1TEX M-Stage for LDGSTS.BYPASS","1","1"
"smsp__sass_l1tex_m_xbar2l1tex_read_sectors_mem_global_op_ldgsts_cache_bypass","# of sectors read from L2 into L1TEX M-Stage for LDGSTS.BYPASS","1","1"
"smsp__sass_l1tex_pipe_lsu_wavefronts_mem_shared","# of shared memory wavefront processed by Data-Stage","1","1"
"smsp__sass_l1tex_t_output_wavefronts_pipe_lsu_mem_global_op_ldgsts_cache_access","# of wavefronts sent to Data-Stage from T-Stage for LDGSTS.ACCESS","1","1"
"smsp__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts","# of requests sent to T-Stage for LDGSTS","1","1"
"smsp__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts_cache_access","# of requests sent to T-Stage for LDGSTS.ACCESS","1","1"
"smsp__sass_l1tex_t_requests_pipe_lsu_mem_global_op_ldgsts_cache_bypass","# of requests sent to T-Stage for LDGSTS.BYPASS","1","1"
"smsp__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_atom","# of sectors requested for global atom","1","1"
"smsp__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ld","# of sectors requested for global loads","1","1"
"smsp__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts","# of sectors requested for LDGSTS","1","1"
"smsp__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts_cache_access","# of sectors requested for LDGSTS.ACCESS","1","1"
"smsp__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_ldgsts_cache_bypass","# of sectors requested for LDGSTS.BYPASS","1","1"
"smsp__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_red","# of sectors requested for global reductions","1","1"
"smsp__sass_l1tex_t_sectors_pipe_lsu_mem_global_op_st","# of sectors requested for global stores","1","1"
"smsp__sass_l1tex_t_sectors_pipe_lsu_mem_local_op_ld","# of sectors requested for local loads","1","1"
"smsp__sass_l1tex_t_sectors_pipe_lsu_mem_local_op_st","# of sectors requested for local stores","1","1"
"smsp__sass_l1tex_tags_mem_global","# of L1 cache tag lookups generated by global memory instructions","1","1"
"smsp__sass_sectors_mem_global","# of global memory sectors accessed","1","1"
"smsp__sass_sectors_mem_local","# of local memory sectors accessed","1","1"
"smsp__sass_thread_inst_executed","# of thread instructions executed","1","1"
"smsp__sass_thread_inst_executed_op_bit_pred_on","# of bit thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_control_pred_on","# of control-flow thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_conversion_pred_on","# of conversion thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_dadd_pred_on","# of DADD thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_dfma_pred_on","# of DFMA thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_dmul_pred_on","# of DMUL thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_fadd_pred_on","# of FADD thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_ffma_pred_on","# of FFMA thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_fmul_pred_on","# of FMUL thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_fp16_pred_on","# of half-precision floating-point thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_fp32_pred_on","# of single-precision floating-point thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_fp64_pred_on","# of double-precision floating-point thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_hadd_pred_on","# of HADD thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_hfma_pred_on","# of HFMA thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_hmul_pred_on","# of HMUL thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_integer_pred_on","# of integer thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_inter_thread_communication_pred_on","# of inter-thread communication thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_memory_pred_on","# of memory thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_misc_pred_on","# of miscellaneous instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_op_uniform_pred_on","# of uniform thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on","# of DADD, DMUL and DFMA thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on","# of FADD, FMUL and FFMA thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on","# of HADD, HMUL and HFMA thread instructions executed where all predicates were true","1","1"
"smsp__sass_thread_inst_executed_pred_on","# of thread instructions where all predicates were true","1","1"
"smsp__tex_requests","# of TEX requests sent from SMSP","1","1"
"smsp__thread_inst_executed","# of thread instructions executed","1","1"
"smsp__thread_inst_executed_per_inst_executed","average # of active threads per instruction executed","1","1"
"smsp__thread_inst_executed_pred_off","# of thread instructions executed where guard predicate was false","1","1"
"smsp__thread_inst_executed_pred_on","# of thread instructions executed where guard predicate was true","1","1"
"smsp__thread_inst_executed_pred_on_per_inst_executed","average # of active predicated-on threads per instruction executed","1","1"
"smsp__threads_launched","# of threads launched","1","1"
"smsp__warp_issue_stalled_barrier_per_warp_active","proportion of warps per cycle, waiting for sibling warps at a CTA barrier","1","1"
